Map.code,code,cluster,SpCond,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
owc,owcsu,A,0.67,15.3,7.4,7.8,1.243038049,0.763802224,-1.26760624,0.491081413,-1.71219827,2.39269324,-0.756244708,0.111243991,-0.614131498,-0.421518149,1.182771947,0.715729461,0.053606542,0.471736537
owc,owcwm,A,0.48,16.7,7.8,7.7,1.477121255,1.19180021,-1.092409512,0.017867719,-2.048176965,2.857355264,0.047489571,-0.362815852,-1.172760034,-0.654196695,0.488700966,0.102581174,0.143956659,0.411382997
pdb,pdbbp,C,44.93,10.9,9.5,8,0.301029996,0.232784414,-1.758204569,-0.914352712,-1.2915791,-0.987249869,-2.80948843,0.63833156,-0.520862858,0.23788813,-0.119711471,0.290809311,-0.008734479,-0.260638785
pdb,pdbby,C,45.395,10.25,8.7,7.9,0.301029996,0.280464547,-1.803409346,-0.689041308,-1.243173787,-0.797467681,-2.599869738,0.789147005,-0.314160469,0.338548412,-0.195893795,0.75366782,-0.258268352,-0.057054035
pdb,pdbgd,C,46.31,9.7,7.1,7.8,0.301029996,0.149603955,-1.744727495,-0.501586055,-1.192126868,-0.726313195,-2.185620895,1.273293852,0.355358368,0.256797855,-0.030208339,1.220774604,-0.599189582,0.404448566
pdb,pdbgs,C,45.54,10.65,8.7,7.9,0,0.251435421,-1.93930216,-0.60736166,-1.254534831,-1.181986004,-2.872145961,0.595318701,-0.124937973,0.328013195,-0.31223637,1.244173145,-0.041057059,-0.151217629
pdb,pdbje,A,41.115,11.9,8.2,7.6,1.096910013,0.462397998,-0.357683897,-0.16774663,-1.707743929,1.787261466,-1.184819916,1.889059148,-0.124701014,-1.929149638,-0.232608264,-0.807337858,-0.566385871,-0.099709633
pdb,pdbjl,A,3.7325,11.05,5.9,6.9,1.431363764,0.443849476,-0.351371688,-0.093873804,-1.751413756,3.708166113,-0.117465474,1.575026657,1.658537987,-1.0649089,-0.169117495,-0.468686219,-0.429693071,0.938004796
rkb,rkbfb,D,45.98,27.1,5.2,7.8,0.903089987,0.667686382,-1.576754126,-2.259637311,-1.877784122,-1.267378489,2.074496634,0.201639993,0.184925641,-0.104785306,0.211331434,0.220435253,0.097755342,-0.143586633
rkb,rkbfu,D,42.2375,26.95,5,7.7,0.84509804,0.423245874,-1.49825627,-1.782516056,-1.978810701,-0.98913655,1.768436111,0.245738951,0.816967507,-0.415833742,0.548307552,0.413979511,-0.051959013,-0.21233122
rkb,rkblh,B,50.53,27.1,5.4,7.9,0.903089987,0.602059991,-1.657577319,-2.187086643,-2.096910013,-1.562259721,1.915574664,-0.059620797,0.066978234,-0.277467401,0.369203054,0.179161997,-0.182970209,-0.18697135
rkb,rkbmb,D,50.5925,26.9,4.4,7.7,1,0.537189226,-1.420216403,-1.823908741,-1.602059991,-0.934659646,2.225812506,0.987671728,0.548417564,-0.198013923,0.449003648,0.487251639,-0.258642467,-0.211334488
rkb,rkbpb,D,46.495,27.05,4.9,7.8,1,0.582631439,-1.576754126,-2.22184875,-1.698970004,-1.22591806,2.157861426,0.510408585,0.282624472,0.084598917,0.441872649,0.209610282,-0.012713549,-0.114176978
sap,sapca,D,48.6475,22.5,6.5,7.8,1.204119983,0.937517892,-1.328364403,-2.402046906,-1.225118234,-0.486279037,1.56817016,1.133865191,-0.838801386,0.386224704,-0.353854331,-0.537329281,0.195874282,-0.199970201
sap,sapdc,D,42.4,22.6,4.9,7.4,1.204119983,0.604496053,-0.622193069,-1.756961951,-0.637234873,0.716729716,1.872197833,2.898601631,0.646709746,-0.222362911,-0.136540633,-0.294550112,0.411859989,-0.218879215
sap,sapfd,D,37.01,24.9,5.2,7.2,0.929418926,0.860338007,-1.572676214,-2.22184875,-1.401574293,-0.10995424,2.075120886,0.518477098,0.788803844,0.799672011,-0.758927245,0.446785355,0.272820003,-0.32826791
sap,saphd,D,40.02,22.8,5.3,7.4,0.84509804,0.693140461,-1.448550002,-2.319349282,-1.48945499,-0.489609193,1.6258614,0.74814106,0.74271945,0.397607626,-0.605448897,0.169518243,0.241209141,0.027191304
sap,sapld,D,42.0575,21.95,6.1,7.7,1.397940009,0.977151789,-1.431798276,-1.838631998,-1.532638583,0.17917971,1.671652328,0.648417049,-0.71752164,0.362686073,-0.073482941,-0.219685466,-0.321278111,-0.016558317
sap,sapml,D,40.905,22.6,6.8,7.7,1.255272505,0.927712462,-1.503762455,-1.472799881,-1.454692884,0.20205428,1.172689259,0.511478781,-0.753101921,0.351849959,0.045054102,0.036509032,-0.156948444,-0.475504072
sfb,sfbcc,A,37.03,16.35,7.8,7.8,1.638489257,0.792391689,-1.323763783,-0.638602731,-1.031166955,1.31319564,-0.040104878,1.311618853,-1.311677734,0.525627786,0.58345028,-0.363491147,-0.668451021,-0.311423739
sfb,sfbfm,A,7.2,17.35,7,7.6,1.602059991,0.612783857,-1.13430394,0.039800648,-0.665294994,2.561810612,-0.07988957,1.613903227,-0.349122095,0.623046969,1.343042658,0.197701946,0.168565849,-0.097826162
sfb,sfbgc,D,34.65,16.9,7.1,7.7,1.591064607,0.716003344,-1.140561465,-0.849550591,-0.917573699,1.36822772,0.303744191,1.720156259,-0.803962621,0.410711209,0.510279754,-0.413626107,-0.427419645,-0.136880471
sfb,sfbsm,A,7.2,17.2,7.5,7.5,1.544068044,0.571126277,-1.274496731,-0.31553616,-1.138839112,2.29055344,-0.198859532,0.804077046,-0.094848399,0.605925999,1.01077564,-0.142525678,0.027958193,-0.112219835
sos,sosch,C,47.115,12,8.8,8,0.477121255,0.331427297,-1.503993401,-0.912366447,-1.49643628,-0.69989068,-2.113922459,0.803003481,-0.54769097,-0.303612387,-0.104918163,0.12065453,-0.20383852,-0.076825624
sos,sosva,C,44.25,12.6,8.6,7.9,0.602059991,0.419129308,-1.468776625,-0.918172809,-1.582251598,-0.354642096,-1.763870948,0.674863824,-0.492927788,-0.284875243,-0.176242438,0.057536922,-0.267635087,-0.057005934
sos,soswi,C,24.2425,12.45,8.55,7.3,0.84509804,0.030734617,-1.597452049,-0.67853966,-2.083984954,0.754980722,-1.853562065,-0.294322435,1.181515537,0.122814571,0.055534438,-0.285432121,-0.712626718,-0.129907738
tjr,tjrbr,D,50.74,17.3,6.8,8,0.477121255,0.030734617,-0.984011895,-1.681936665,-1.005243055,-1.223290325,-0.683275608,2.284210521,0.435195645,-0.702305928,0.307403998,-0.257113114,0.463456369,0.009480055
tjr,tjrmm,D,53.8,18.05,5.4,7.7,1,0.122215878,-0.777283529,-1.615288257,-1.173925197,-0.331842767,0.554458265,2.573928341,0.82518769,-0.766107817,0.258240497,-0.51530353,-0.385641549,0.208672749
tjr,tjros,D,50.82,18.8,5.2,7.7,0.698970004,0.239299479,-0.943476276,-1.602059991,-0.791827473,-0.592456899,0.479103549,2.708597974,0.78743217,-0.356380265,0.071139495,0.208616053,0.179206093,0.123172772
tjr,tjrpe,B,69.9225,21.3,6.95,8.3,0.653212514,1.272769587,-1.965237894,-2,-1.657577319,-2.111454306,0.821566694,0.140338004,-2.206410526,0.14558854,-0.686526628,0.840090722,-0.293158611,-0.184891294
tjr,tjrpr,D,53.68,21.1,6.25,8,0.954242509,0.368286885,-1.580044252,-2.01211039,-1.522878745,-1.432490462,0.650400011,0.909938011,-0.16693693,0.123303138,0.471594868,-0.189711371,-0.352890382,-0.01111759
tjr,tjrsb,D,53.54,21,6.5,8,0.84509804,0.327358934,-1.654626269,-1.979845968,-1.394335884,-1.57314593,0.381921233,0.934355935,-0.136442879,0.285132471,0.458494041,-0.055048277,-0.212335183,-0.151065196
