FID_1,station,lon,lat,FID_2,objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,globalid,shape_Leng,shape_Area
76,KACHO,-151.41000000000,59.60232000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
77,KACHS,-151.40878000000,59.60201000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
78,KACPG,-151.89612000000,59.37053000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
79,KACSD,-151.72096000000,59.44099000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
80,KACSE,-151.72096000000,59.44099000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
81,KACSS,-151.72096000000,59.44099000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
89,MARMB,-96.82850000000,28.13840000000,21,1145,{37DD63A1-B02D-40C9-B156-AF1459619CDD},,,,,8/25/2016,,332502.51000000000,1345.59000000000,TX,12100403,East San Antonio Bay,{A7DDF8C4-3E74-42D7-9D80-72A921A2055A},2.45069453679,0.12381454288
86,MARAB,-97.02870000000,27.97980000000,22,1146,{8C30B667-587E-4A4B-9B9C-C595D1F5C0CF},,,,,8/25/2016,,587705.40000000000,2378.36000000000,TX,12100405,Aransas Bay,{33127BED-5E6D-4C4D-98F3-D55A76E39F2A},3.03773743115,0.21850882379
87,MARCE,-97.03440000000,28.13230000000,22,1146,{8C30B667-587E-4A4B-9B9C-C595D1F5C0CF},,,,,8/25/2016,,587705.40000000000,2378.36000000000,TX,12100405,Aransas Bay,{33127BED-5E6D-4C4D-98F3-D55A76E39F2A},3.03773743115,0.21850882379
88,MARCW,-97.20090000000,28.08410000000,22,1146,{8C30B667-587E-4A4B-9B9C-C595D1F5C0CF},,,,,8/25/2016,,587705.40000000000,2378.36000000000,TX,12100405,Aransas Bay,{33127BED-5E6D-4C4D-98F3-D55A76E39F2A},3.03773743115,0.21850882379
10,APACP,-84.88020000000,29.70210000000,23,1147,{A7EBFBAD-0494-4839-8BAB-0D570B415710},{F6FB057D-7502-43FC-9DEE-FD17433AF308},,U.S. Geological Survey,,9/8/2022,,355960.34000000000,1440.52000000000,FL,03130014,Apalachicola Bay,{18FF05FC-EE25-4A8D-B22C-A6408B1495CA},2.88505592988,0.13432466005
11,APADB,-85.05830000000,29.67470000000,23,1147,{A7EBFBAD-0494-4839-8BAB-0D570B415710},{F6FB057D-7502-43FC-9DEE-FD17433AF308},,U.S. Geological Survey,,9/8/2022,,355960.34000000000,1440.52000000000,FL,03130014,Apalachicola Bay,{18FF05FC-EE25-4A8D-B22C-A6408B1495CA},2.88505592988,0.13432466005
